Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
106,Kareem Hunt,CLE,27,RB,17,0,44,35,210,6.0,1,11,38.6,24,2.1,12.4,79.5%,4.8,123,468,3,30,48.0,24,3.8,27.5,7.2,158,4.3,678,4,1
107,K.J. Osborn,MIN,25,WR,17,9,90,60,650,10.8,5,32,58.9,66,3.5,38.2,66.7%,7.2,3,6,0,2,66.7,5,2.0,0.4,0.2,63,10.4,656,5,1
108,Taysom Hill,NOR,32,TE/QB,16,8,13,9,77,8.6,2,5,46.2,30,0.6,4.8,69.2%,5.9,96,575,7,34,55.2,60,6.0,35.9,6.0,105,6.2,652,9,2
109,Kalif Raymond,DET,28,WR,17,7,64,47,616,13.1,0,24,56.3,56,2.8,36.2,73.4%,9.6,7,36,0,4,71.4,12,5.1,2.1,0.4,54,12.1,652,0,3
110,Chuba Hubbard,CAR,23,RB,15,2,17,14,171,12.2,0,5,47.1,45,0.9,11.4,82.4%,10.1,95,466,2,23,45.3,35,4.9,31.1,6.3,109,5.8,637,2,2
111,Tyler Higbee,LAR,29,TE,17,17,108,72,620,8.6,3,32,51.9,26,4.2,36.5,66.7%,5.7,,,0,0,,,,,,72,8.6,620,3,
112,David Njoku,CLE,26,TE,14,14,80,58,628,10.8,4,36,61.3,38,4.1,44.9,72.5%,7.9,2,-8,0,0,0.0,-2,-4.0,-0.6,0.1,60,10.3,620,4,1
113,Alec Pierce,IND,22,WR,16,12,78,41,593,14.5,2,28,46.2,47,2.6,37.1,52.6%,7.6,,,0,0,,,,,,41,14.5,593,2,1
114,Jaylen Warren,PIT,24,RB,16,0,33,28,214,7.6,0,14,51.5,26,1.8,13.4,84.8%,6.5,77,379,1,20,53.2,31,4.9,23.7,4.8,105,5.6,593,1,1
115,Dalton Schultz,DAL,26,TE,15,15,89,57,577,10.1,5,27,55.1,30,3.8,38.5,64.0%,6.5,,,0,0,,,,,,57,10.1,577,5,1
116,Richie James,NYG,27,WR,17,4,70,57,569,10.0,4,29,61.4,33,3.4,33.5,81.4%,8.1,2,6,0,0,50.0,4,3.0,0.4,0.1,59,9.7,575,4,3
117,Kenyan Drake,BAL,28,RB,12,5,26,17,89,5.2,1,7,34.6,15,1.4,7.4,65.4%,3.4,109,482,4,21,45.0,40,4.4,40.2,9.1,126,4.5,571,5,1
118,J.K. Dobbins,BAL,24,RB,8,8,8,7,42,6.0,1,3,62.5,20,0.9,5.3,87.5%,5.3,92,520,2,26,57.6,44,5.7,65.0,11.5,99,5.7,562,3,
119,Damien Harris,NWE,25,RB,11,9,23,17,97,5.7,0,4,43.5,15,1.5,8.8,73.9%,4.2,106,462,3,23,50.0,30,4.4,42.0,9.6,123,4.5,559,3,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
120,Noah Brown,DAL,26,WR,16,13,74,43,555,12.9,3,25,48.6,51,2.7,34.7,58.1%,7.5,,,0,0,,,,,,43,12.9,555,3,1
121,Tyler Conklin,NYJ,27,TE,17,16,87,58,552,9.5,3,25,44.8,30,3.4,32.5,66.7%,6.3,2,3,0,2,100.0,2,1.5,0.2,0.1,60,9.3,555,3,2
122,Gerald Everett,LAC,28,TE,16,11,87,58,555,9.6,4,29,48.3,26,3.6,34.7,66.7%,6.4,1,0,0,0,0.0,0,0.0,0.0,0.1,59,9.4,555,4,
123,Cole Kmet,CHI,23,TE,17,17,69,50,544,10.9,7,27,59.4,50,2.9,32.0,72.5%,7.9,2,9,0,1,100.0,8,4.5,0.5,0.1,52,10.6,553,7,1
124,Chris Moore,HOU,29,WR,16,7,74,48,548,11.4,2,24,47.3,52,3.0,34.3,64.9%,7.4,3,3,0,0,0.0,3,1.0,0.2,0.2,51,10.8,551,2,
125,Rashid Shaheed,NOR,24,WR,12,6,34,28,488,17.4,2,18,70.6,68,2.3,40.7,82.4%,14.4,4,57,1,2,75.0,44,14.3,4.8,0.3,32,17.0,545,3,1
126,Melvin Gordon,DEN,29,RB,10,6,32,25,223,8.9,0,11,46.9,24,2.5,22.3,78.1%,7.0,90,318,2,15,50.0,17,3.5,31.8,9.0,115,4.7,541,2,5
127,Olamide Zaccheaus,ATL,25,WR,17,13,61,40,533,13.3,3,25,52.5,45,2.4,31.4,65.6%,8.7,2,7,0,1,50.0,13,3.5,0.4,0.1,42,12.9,540,3,1
128,DeVante Parker,NWE,29,WR,13,11,47,31,539,17.4,3,25,59.6,43,2.4,41.5,66.0%,11.5,,,0,0,,,,,,31,17.4,539,3,
129,Corey Davis,NYJ,27,WR,13,10,64,32,536,16.8,2,28,48.4,66,2.5,41.2,50.0%,8.4,,,0,0,,,,,,32,16.8,536,2,
130,Marvin Jones,JAX,32,WR,16,10,81,46,529,11.5,3,29,51.9,37,2.9,33.1,56.8%,6.5,,,0,0,,,,,,46,11.5,529,3,
131,Robert Woods,TEN,30,WR,17,15,91,53,527,9.9,2,31,50.5,41,3.1,31.0,58.2%,5.8,,,0,0,,,,,,53,9.9,527,2,1
132,DeAndre Carter,LAC,29,WR,17,7,65,46,538,11.7,3,29,53.8,35,2.7,31.6,70.8%,8.3,2,-15,0,0,0.0,-5,-7.5,-0.9,0.1,48,10.9,523,3,3
133,Dawson Knox*,BUF,26,TE,15,15,65,48,517,10.8,6,25,60.0,45,3.2,34.5,73.8%,8.0,,,0,0,,,,,,48,10.8,517,6,
134,Jahan Dotson,WAS,22,WR,12,10,61,35,523,14.9,7,26,50.8,61,2.9,43.6,57.4%,8.6,2,-7,0,0,0.0,3,-3.5,-0.6,0.2,37,13.9,516,7,
135,Greg Dortch,ARI,24,WR,16,4,64,52,467,9.0,2,19,46.9,47,3.3,29.2,81.3%,7.3,7,44,0,3,71.4,20,6.3,2.8,0.4,59,8.7,511,2,1
136,Chase Claypool,2TM,24,WR,15,11,79,46,451,9.8,1,24,46.8,31,3.1,30.1,58.2%,5.7,9,59,0,3,44.4,15,6.6,3.9,0.6,55,9.3,510,1,1
137,Hunter Henry,NWE,28,TE,17,14,59,41,509,12.4,2,23,50.8,39,2.4,29.9,69.5%,8.6,,,0,0,,,,,,41,12.4,509,2,
138,Juwan Johnson,NOR,26,TE,16,12,65,42,508,12.1,7,25,52.3,41,2.6,31.8,64.6%,7.8,,,0,0,,,,,,42,12.1,508,7,
139,Eno Benjamin,3TM,23,RB,15,3,34,25,193,7.7,0,10,44.1,22,1.7,12.9,73.5%,5.7,77,313,2,14,46.8,45,4.1,20.9,5.1,102,5.0,506,2,
140,DJ Chark,DET,26,WR,11,10,52,30,502,16.7,3,24,51.9,51,2.7,45.6,57.7%,9.7,,,0,0,,,,,,30,16.7,502,3,
141,Jordan Akins,HOU,30,TE,15,3,54,37,495,13.4,5,23,53.7,46,2.5,33.0,68.5%,9.2,,,0,0,,,,,,37,13.4,495,5,1
142,Darnell Mooney,CHI,25,WR,12,12,61,40,493,12.3,2,20,45.9,56,3.3,41.1,65.6%,8.1,1,2,0,0,0.0,2,2.0,0.2,0.1,41,12.1,495,2,
143,Zack Moss,2TM,25,RB,13,3,13,11,39,3.5,0,2,38.5,8,0.8,3.0,84.6%,3.0,93,456,1,18,47.3,43,4.9,35.1,7.2,104,4.8,495,1,1
144,Treylon Burks,TEN,22,WR,11,6,54,33,444,13.5,1,19,50.0,51,3.0,40.4,61.1%,8.2,4,47,0,3,100.0,20,11.8,4.3,0.4,37,13.3,491,1,
145,Devin Duvernay*,BAL,25,WR,14,13,49,37,407,11.0,3,19,59.2,31,2.6,29.1,75.5%,8.3,12,84,1,7,66.7,18,7.0,6.0,0.9,49,10.0,491,4,1
146,Terrace Marshall Jr.,CAR,22,WR,14,9,47,28,490,17.5,1,24,53.2,43,2.0,35.0,59.6%,10.4,,,0,0,,,,,,28,17.5,490,1,2
147,Noah Fant,SEA,25,TE,17,16,63,50,486,9.7,4,24,54.0,51,2.9,28.6,79.4%,7.7,,,0,0,,,,,,50,9.7,486,4,
148,Nico Collins,HOU,23,WR,10,7,66,37,481,13.0,2,21,42.4,58,3.7,48.1,56.1%,7.3,,,0,0,,,,,,37,13.0,481,2,
149,Josh Reynolds,DET,27,WR,14,11,59,38,479,12.6,3,25,61.0,31,2.7,34.2,64.4%,8.1,,,0,0,,,,,,38,12.6,479,3,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
