Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
296,Royce Freeman,HOU,26,RB,4,1,8,6,33,5.5,0,0,37.5,9,1.5,8.3,75.0%,4.1,41,117,0,7,39.0,11,2.9,29.3,10.3,47,3.2,150,0,1
297,Hassan Haskins,TEN,23,RB,15,1,12,11,57,5.2,0,2,25.0,10,0.7,3.8,91.7%,4.8,25,93,0,5,44.0,12,3.7,6.2,1.7,36,4.2,150,0,
298,Zach Pascal,PHI,28,WR,17,2,19,15,150,10.0,1,9,63.2,34,0.9,8.8,78.9%,7.9,1,0,0,0,0.0,0,0.0,0.0,0.1,16,9.4,150,1,
299,MyCole Pruitt,ATL,30,TE,13,4,21,16,150,9.4,4,10,61.9,29,1.2,11.5,76.2%,7.1,,,0,0,,,,,,16,9.4,150,4,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
300,Josh Oliver,BAL,25,TE,17,9,25,14,149,10.6,2,7,48.0,40,0.8,8.8,56.0%,6.0,,,0,0,,,,,,14,10.6,149,2,
301,Eric Saubert,DEN,28,TE,17,6,24,15,148,9.9,1,6,37.5,25,0.9,8.7,62.5%,6.2,,,0,0,,,,,,15,9.9,148,1,
302,O.J. Howard,HOU,28,TE,13,10,23,10,145,14.5,2,6,34.8,26,0.8,11.2,43.5%,6.3,,,0,0,,,,,,10,14.5,145,2,
303,Cedrick Wilson Jr.,MIA,27,WR,15,0,18,12,136,11.3,0,8,61.1,21,0.8,9.1,66.7%,7.6,1,8,0,0,100.0,8,8.0,0.5,0.1,13,11.1,144,0,
304,Pierre Strong,NWE,24,RB,15,0,7,7,42,6.0,0,3,42.9,16,0.5,2.8,100.0%,6.0,10,100,1,5,70.0,44,10.0,6.7,0.7,17,8.4,142,1,
305,Keelan Cole,LVR,29,WR,14,3,21,10,141,14.1,1,8,47.6,30,0.7,10.1,47.6%,6.7,,,0,0,,,,,,10,14.1,141,1,1
306,Tom Kennedy,DET,26,WR,7,1,15,8,141,17.6,0,7,53.3,44,1.1,20.1,53.3%,9.4,,,0,0,,,,,,8,17.6,141,0,
307,Johnny Mundt,MIN,28,TE,17,12,21,19,140,7.4,1,9,66.7,17,1.1,8.2,90.5%,6.7,,,0,0,,,,,,19,7.4,140,1,
308,Mitchell Wilcox,CIN,26,TE,16,4,18,17,139,8.2,1,6,66.7,19,1.1,8.7,94.4%,7.7,,,0,0,,,,,,17,8.2,139,1,
309,Justin Herbert,LAC,24,QB,17,17,2,2,-10,-5.0,0,0,0.0,-2,0.1,-0.6,100.0%,-5.0,54,147,0,17,40.7,23,2.7,8.6,3.2,56,2.4,137,0,8
310,Tyler Huntley*,BAL,24,QB,6,4,,,,,0,0,,,,,,,43,137,1,12,39.5,14,3.2,22.8,7.2,43,3.2,137,1,3
311,Dan Arnold,JAX,27,TE,17,0,13,9,135,15.0,0,5,53.8,26,0.5,7.9,69.2%,10.4,,,0,0,,,,,,9,15.0,135,0,
312,Byron Pringle,CHI,29,WR,11,4,16,10,135,13.5,2,8,56.3,35,0.9,12.3,62.5%,8.4,,,0,0,,,,,,10,13.5,135,2,
313,Jeff Smith,NYJ,25,WR,11,0,11,8,134,16.8,0,5,63.6,50,0.7,12.2,72.7%,12.2,,,0,0,,,,,,8,16.8,134,0,
314,Zach Gentry,PIT,26,TE,17,13,23,19,132,6.9,0,6,39.1,32,1.1,7.8,82.6%,5.7,,,0,0,,,,,,19,6.9,132,0,
315,Tanner Hudson,NYG,28,TE,11,0,15,10,132,13.2,0,8,60.0,27,0.9,12.0,66.7%,8.8,,,0,0,,,,,,10,13.2,132,0,
316,Donald Parham,LAC,25,TE,6,1,12,10,130,13.0,1,5,83.3,24,1.7,21.7,83.3%,10.8,,,0,0,,,,,,10,13.0,130,1,
317,Durham Smythe,MIA,27,TE,16,15,20,15,129,8.6,1,7,55.0,26,0.9,8.1,75.0%,6.5,2,1,1,1,50.0,1,0.5,0.1,0.1,17,7.6,130,2,
318,Jalen Reagor,MIN,23,WR,17,0,13,8,104,13.0,1,5,53.8,38,0.5,6.1,61.5%,8.0,4,25,0,1,75.0,17,6.3,1.5,0.2,12,10.8,129,1,4
319,Brevin Jordan,HOU,22,TE,11,3,28,14,128,9.1,0,7,39.3,20,1.3,11.6,50.0%,4.6,,,0,0,,,,,,14,9.1,128,0,
320,Brandon Bolden,LVR,32,RB,16,0,9,9,57,6.3,1,2,44.4,18,0.6,3.6,100.0%,6.3,17,66,0,3,35.3,12,3.9,4.1,1.1,26,4.7,123,1,
321,Jack Stoll,PHI,24,TE,17,11,14,11,123,11.2,0,5,71.4,26,0.6,7.2,78.6%,8.8,,,0,0,,,,,,11,11.2,123,0,
322,Malik Willis,TEN,23,QB,8,3,,,,,0,0,,,,,,,27,123,1,8,44.4,17,4.6,15.4,3.4,27,4.6,123,1,3
323,T.Y. Hilton,DAL,33,WR,3,0,10,7,121,17.3,0,5,60.0,52,2.3,40.3,70.0%,12.1,,,0,0,,,,,,7,17.3,121,0,
324,Malcolm Brown,LAR,29,RB,11,0,6,5,37,7.4,0,2,50.0,13,0.5,3.4,83.3%,6.2,18,81,1,3,33.3,23,4.5,7.4,1.6,23,5.1,118,1,
325,Lawrence Cager,2TM,25,WR,7,4,19,13,118,9.1,1,8,52.6,20,1.9,16.9,68.4%,6.2,,,0,0,,,,,,13,9.1,118,1,
326,Pharaoh Brown,2TM,28,TE,16,8,20,12,117,9.8,0,6,40.0,30,0.8,7.3,60.0%,5.9,,,0,0,,,,,,12,9.8,117,0,
327,N'Keal Harry,CHI,25,WR,7,0,9,7,116,16.6,1,4,77.8,49,1.0,16.6,77.8%,12.9,,,0,0,,,,,,7,16.6,116,1,
328,Josiah Deguara,GNB,25,TE,17,3,15,13,114,8.8,0,4,80.0,25,0.8,6.7,86.7%,7.6,,,0,0,,,,,,13,8.8,114,0,
329,Alec Ingold,MIA,26,FB,17,14,23,15,105,7.0,1,4,52.2,17,0.9,6.2,65.2%,4.6,6,8,1,5,83.3,2,1.3,0.5,0.4,21,5.4,113,2,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
330,James Mitchell,DET,23,TE,14,0,11,11,113,10.3,1,7,100.0,22,0.8,8.1,100.0%,10.3,,,0,0,,,,,,11,10.3,113,1,
331,Teagan Quitoriano,HOU,22,TE,9,6,14,7,113,16.1,2,5,42.9,52,0.8,12.6,50.0%,8.1,,,0,0,,,,,,7,16.1,113,2,
332,Darrel Williams,ARI,27,RB,6,0,8,4,9,2.3,0,0,12.5,6,0.7,1.5,50.0%,1.1,21,102,1,8,57.1,30,4.9,17.0,3.5,25,4.4,111,1,
333,Corey Clement,ARI,28,RB,9,1,7,5,54,10.8,0,3,42.9,21,0.6,6.0,71.4%,7.7,15,55,1,6,60.0,12,3.7,6.1,1.7,20,5.5,109,1,
334,Brycen Hopkins,LAR,25,TE,14,1,11,7,109,15.6,0,5,54.5,22,0.5,7.8,63.6%,9.9,,,0,0,,,,,,7,15.6,109,0,
335,John Bates,WAS,25,TE,16,7,22,14,108,7.7,1,4,50.0,20,0.9,6.8,63.6%,4.9,,,0,0,,,,,,14,7.7,108,1,1
336,Jody Fortson,KAN,27,WR,13,1,13,9,108,12.0,2,6,69.2,40,0.7,8.3,69.2%,8.3,,,0,0,,,,,,9,12.0,108,2,1
337,Davis Mills,HOU,24,QB,15,15,,,,,0,0,,,,,,,32,108,2,8,28.1,17,3.4,7.2,2.1,32,3.4,108,2,8
338,Anthony Schwartz,CLE,22,WR,11,1,10,4,51,12.8,0,2,30.0,19,0.4,4.6,40.0%,5.1,4,57,1,2,100.0,31,14.3,5.2,0.4,8,13.5,108,1,1
339,Benny Snell Jr.,PIT,24,RB,17,0,2,2,17,8.5,0,1,50.0,11,0.1,1.0,100.0%,8.5,20,90,1,6,70.0,16,4.5,5.3,1.2,22,4.9,107,1,
340,Sam Darnold,CAR,25,QB,6,6,,,,,0,0,,,,,,,26,106,2,10,38.5,26,4.1,17.7,4.3,26,4.1,106,2,6
341,David Sills,NYG,26,WR,9,5,17,11,106,9.6,0,7,52.9,24,1.2,11.8,64.7%,6.2,,,0,0,,,,,,11,9.6,106,0,
342,Ross Dwelley,SFO,27,TE,12,0,5,3,105,35.0,1,3,60.0,56,0.3,8.8,60.0%,21.0,,,0,0,,,,,,3,35.0,105,1,
343,Peyton Hendershot,DAL,23,TE,17,2,16,11,103,9.4,2,8,50.0,29,0.6,6.1,68.8%,6.4,1,2,1,1,100.0,2,2.0,0.1,0.1,12,8.8,105,3,1
344,Zach Wilson,NYJ,23,QB,9,9,1,1,2,2.0,1,1,100.0,2,0.1,0.2,100.0%,2.0,28,102,1,7,42.9,18,3.6,11.3,3.1,29,3.6,104,2,1
345,Breshad Perriman,TAM,29,WR,11,3,19,9,110,12.2,1,5,31.6,28,0.8,10.0,47.4%,5.8,2,-7,0,0,0.0,0,-3.5,-0.6,0.2,11,9.4,103,1,2
346,Derek Carr*,LVR,31,QB,15,15,,,,,0,0,,,,,,,24,102,0,10,50.0,20,4.3,6.8,1.6,24,4.3,102,0,4
347,River Cracraft,MIA,28,WR,11,0,14,9,102,11.3,2,8,57.1,22,0.8,9.3,64.3%,7.3,,,0,0,,,,,,9,11.3,102,2,
348,Mac Jones,NWE,24,QB,14,14,,,,,0,0,,,,,,,47,102,1,12,34.0,15,2.2,7.3,3.4,47,2.2,102,1,5
349,Anthony Firkser,ATL,27,FB,11,1,13,9,100,11.1,0,5,38.5,22,0.8,9.1,69.2%,7.7,,,0,0,,,,,,9,11.1,100,0,
350,Giovanni Ricci,CAR,26,TE,15,3,9,8,100,12.5,0,3,55.6,32,0.5,6.7,88.9%,11.1,,,0,0,,,,,,8,12.5,100,0,
351,Tyrion Davis-Price,SFO,22,RB,6,0,2,0,0,,0,0,0.0,0,0.0,0.0,0.0%,0.0,34,99,0,5,32.4,20,2.9,16.5,5.7,34,2.9,99,0,
352,Marcus Johnson,NYG,28,WR,14,7,22,9,99,11.0,0,6,36.4,18,0.6,7.1,40.9%,4.5,,,0,0,,,,,,9,11.0,99,0,
353,Ryan Tannehill,TEN,34,QB,12,12,,,,,0,0,,,,,,,34,98,2,12,44.1,17,2.9,8.2,2.8,34,2.9,98,2,3
354,Kirk Cousins*,MIN,34,QB,17,17,,,,,0,0,,,,,,,31,97,2,11,38.7,19,3.1,5.7,1.8,31,3.1,97,2,7
355,Darrynton Evans,CHI,24,RB,6,0,1,1,33,33.0,0,1,100.0,33,0.2,5.5,100.0%,33.0,14,64,0,3,42.9,21,4.6,10.7,2.3,15,6.5,97,0,
356,Taylor Heinicke,WAS,29,QB,9,9,,,,,0,0,,,,,,,28,96,1,6,46.4,15,3.4,10.7,3.1,28,3.4,96,1,7
357,Albert Okwuegbunam,DEN,24,TE,8,1,18,10,95,9.5,1,4,44.4,25,1.3,11.9,55.6%,5.3,,,0,0,,,,,,10,9.5,95,1,
358,Aaron Rodgers,GNB,39,QB,17,17,,,,,0,0,,,,,,,34,94,1,9,32.4,18,2.8,5.5,2.0,34,2.8,94,1,8
359,C.J. Ham,MIN,29,FB,17,4,12,10,86,8.6,0,7,83.3,17,0.6,5.1,83.3%,7.2,4,7,2,3,75.0,3,1.8,0.4,0.2,14,6.6,93,2,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
360,Ronald Jones II,KAN,25,RB,6,0,1,1,22,22.0,0,1,100.0,22,0.2,3.7,100.0%,22.0,17,70,1,4,52.9,13,4.1,11.7,2.8,18,5.1,92,1,
361,Gunner Olszewski,PIT,26,WR,16,2,7,5,53,10.6,0,1,42.9,31,0.3,3.3,71.4%,7.6,8,39,0,3,50.0,18,4.9,2.4,0.5,13,7.1,92,0,2
362,Bryce Perkins,LAR,26,QB,5,1,,,,,0,0,,,,,,,19,90,0,6,42.1,23,4.7,18.0,3.8,19,4.7,90,0,
363,Patrick Ricard*,BAL,28,FB,17,16,13,11,74,6.7,0,1,61.5,19,0.6,4.4,84.6%,5.7,7,16,0,5,71.4,5,2.3,0.9,0.4,18,5.0,90,0,
364,Armani Rogers,WAS,25,TE,11,3,6,5,64,12.8,0,4,66.7,23,0.5,5.8,83.3%,10.7,2,26,0,1,50.0,24,13.0,2.4,0.2,7,12.9,90,0,
365,Michael Bandy,LAC,25,WR,10,2,21,10,89,8.9,0,5,33.3,25,1.0,8.9,47.6%,4.2,,,0,0,,,,,,10,8.9,89,0,
366,Parker Hesse,ATL,27,TE,17,7,11,9,89,9.9,0,6,81.8,22,0.5,5.2,81.8%,8.1,,,0,0,,,,,,9,9.9,89,0,
367,Baker Mayfield,2TM,27,QB,12,10,,,,,0,0,,,,,,,31,89,1,7,29.0,17,2.9,7.4,2.6,31,2.9,89,1,9
368,Cam Sims,WAS,26,WR,17,3,18,8,89,11.1,0,5,33.3,21,0.5,5.2,44.4%,4.9,,,0,0,,,,,,8,11.1,89,0,
369,Sam Ehlinger,IND,24,QB,4,3,,,,,0,0,,,,,,,17,87,0,5,52.9,19,5.1,21.8,4.3,17,5.1,87,0,2
370,Jordan Wilkins,IND,28,RB,4,0,8,6,29,4.8,0,1,25.0,10,1.5,7.3,75.0%,3.6,13,58,0,2,61.5,9,4.5,14.5,3.3,19,4.6,87,0,
371,Carson Wentz,WAS,30,QB,8,7,,,,,0,0,,,,,,,22,86,1,4,50.0,18,3.9,10.8,2.8,22,3.9,86,1,6
372,Quintin Morris,BUF,23,TE,14,1,11,8,84,10.5,1,6,63.6,26,0.6,6.0,72.7%,7.6,,,0,0,,,,,,8,10.5,84,1,1
373,Jarrett Stidham,LVR,26,QB,5,2,,,,,0,0,,,,,,,14,84,0,7,85.7,11,6.0,16.8,2.8,14,6.0,84,0,3
374,Samori Toure,GNB,24,WR,11,2,10,5,82,16.4,1,2,30.0,37,0.5,7.5,50.0%,8.2,,,0,0,,,,,,5,16.4,82,1,1
375,Grant Calcaterra,PHI,24,TE,15,2,9,5,81,16.2,0,3,44.4,40,0.3,5.4,55.6%,9.0,,,0,0,,,,,,5,16.2,81,0,
376,Kenny Golladay,NYG,29,WR,12,4,17,6,81,13.5,1,4,35.3,25,0.5,6.8,35.3%,4.8,,,0,0,,,,,,6,13.5,81,1,
377,Keaontay Ingram,ARI,23,RB,12,0,5,4,21,5.3,0,1,20.0,24,0.3,1.8,80.0%,4.2,27,60,1,4,25.9,13,2.2,5.0,2.3,31,2.6,81,1,
378,Jameson Williams,DET,21,WR,6,0,9,1,41,41.0,1,1,11.1,41,0.2,6.8,11.1%,4.6,1,40,0,1,100.0,40,40.0,6.7,0.2,2,40.5,81,1,
379,Ko Kieft,TAM,24,TE,17,12,10,7,80,11.4,1,5,70.0,19,0.4,4.7,70.0%,8.0,,,0,0,,,,,,7,11.4,80,1,
380,Jeff Driskel,HOU,29,QB,7,2,1,1,4,4.0,0,0,100.0,4,0.1,0.6,100.0%,4.0,20,75,0,4,45.0,10,3.8,10.7,2.9,21,3.8,79,0,
381,Eric Tomlinson,DEN,30,TE,17,12,13,9,79,8.8,2,5,69.2,18,0.5,4.6,69.2%,6.1,,,0,0,,,,,,9,8.8,79,2,
382,Jared Goff*,DET,28,QB,17,17,1,1,5,5.0,0,0,100.0,5,0.1,0.3,100.0%,5.0,29,73,0,5,24.1,14,2.5,4.3,1.7,30,2.6,78,0,7
383,Marcus Jones+,NWE,24,DB,15,4,4,4,78,19.5,1,3,75.0,48,0.3,5.2,100.0%,19.5,,,0,0,,,,,,4,19.5,78,1,1
384,Jaret Patterson,WAS,23,RB,3,0,1,0,0,,0,0,0.0,0,0.0,0.0,0.0%,0.0,17,78,0,3,47.1,14,4.6,26.0,5.7,17,4.6,78,0,
385,Kyle Philips,TEN,23,WR,4,0,13,8,78,9.8,0,3,38.5,21,2.0,19.5,61.5%,6.0,,,0,0,,,,,,8,9.8,78,0,2
386,Trent Taylor,CIN,28,WR,16,1,10,6,62,10.3,0,1,30.0,34,0.4,3.9,60.0%,6.2,4,15,0,0,50.0,9,3.8,0.9,0.3,10,7.7,77,0,2
387,Jalen Virgil,DEN,24,WR,9,1,5,2,75,37.5,1,2,40.0,66,0.2,8.3,40.0%,15.0,,,0,0,,,,,,2,37.5,75,1,1
388,Freddie Swain,2TM,24,WR,4,1,6,4,74,18.5,0,3,50.0,52,1.0,18.5,66.7%,12.3,,,0,0,,,,,,4,18.5,74,0,1
389,Kevin White,NOR,30,WR,7,2,5,2,74,37.0,0,2,40.0,64,0.3,10.6,40.0%,14.8,,,0,0,,,,,,2,37.0,74,0,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
390,Salvon Ahmed,MIA,24,RB,12,0,1,1,8,8.0,0,0,100.0,8,0.1,0.7,100.0%,8.0,12,64,1,4,75.0,11,5.3,5.3,1.0,13,5.5,72,1,
391,Tre' McKitty,LAC,23,TE,17,8,18,10,72,7.2,0,0,22.2,12,0.6,4.2,55.6%,4.0,,,0,0,,,,,,10,7.2,72,0,1
392,Ke'Shawn Vaughn,TAM,25,RB,15,0,4,3,19,6.3,0,1,25.0,11,0.2,1.3,75.0%,4.8,17,53,0,3,52.9,12,3.1,3.5,1.1,20,3.6,72,0,
393,David Johnson,NOR,31,RB,5,0,4,4,47,11.8,0,3,100.0,21,0.8,9.4,100.0%,11.8,12,24,0,0,33.3,5,2.0,4.8,2.4,16,4.4,71,0,1
394,Tevin Coleman,SFO,29,RB,5,0,3,3,44,14.7,1,2,66.7,30,0.6,8.8,100.0%,14.7,12,26,1,2,25.0,14,2.2,5.2,2.4,15,4.7,70,2,
395,Matt Ryan,IND,37,QB,12,12,,,,,0,0,,,,,,,27,70,1,9,37.0,39,2.6,5.8,2.3,27,2.6,70,1,15
396,Tua Tagovailoa,MIA,24,QB,13,13,,,,,0,0,,,,,,,23,70,0,4,34.8,18,3.0,5.4,1.8,23,3.0,70,0,6
397,Tyrod Taylor,NYG,33,QB,3,0,,,,,0,0,,,,,,,5,70,0,5,100.0,32,14.0,23.3,1.7,5,14.0,70,0,2
398,Zamir White,LVR,23,RB,14,0,,,,,0,0,,,,,,,17,70,0,4,41.2,22,4.1,5.0,1.2,17,4.1,70,0,
399,Andrew Beck,DEN,26,TE,13,4,11,5,69,13.8,0,2,45.5,27,0.4,5.3,45.5%,6.3,2,0,0,0,0.0,1,0.0,0.0,0.2,7,9.9,69,0,
400,Reggie Gilliam,BUF,25,FB,15,4,10,8,69,8.6,1,4,70.0,14,0.5,4.6,80.0%,6.9,,,0,0,,,,,,8,8.6,69,1,
401,D'Wayne Eskridge,SEA,25,WR,10,0,13,7,58,8.3,0,4,30.8,16,0.7,5.8,53.8%,4.5,2,10,0,0,100.0,6,5.0,1.0,0.2,9,7.6,68,0,
402,Phillip Lindsay,IND,28,RB,3,0,8,6,19,3.2,0,0,25.0,7,2.0,6.3,75.0%,2.4,15,49,0,1,20.0,15,3.3,16.3,5.0,21,3.2,68,0,
403,Trey Lance,SFO,22,QB,2,2,,,,,0,0,,,,,,,16,67,0,7,56.3,13,4.2,33.5,8.0,16,4.2,67,0,1
404,Marcedes Lewis,GNB,38,TE,17,17,7,6,66,11.0,2,5,71.4,31,0.4,3.9,85.7%,9.4,,,0,0,,,,,,6,11.0,66,2,
405,Chris Myarick,NYG,27,FB,16,8,8,7,65,9.3,1,5,75.0,23,0.4,4.1,87.5%,8.1,,,0,0,,,,,,7,9.3,65,1,
406,Jalen Guyton,LAC,25,WR,3,0,4,2,64,32.0,0,2,50.0,54,0.7,21.3,50.0%,16.0,,,0,0,,,,,,2,32.0,64,0,
407,Jake Kumerow,BUF,30,WR,6,1,7,4,64,16.0,0,4,57.1,39,0.7,10.7,57.1%,9.1,,,0,0,,,,,,4,16.0,64,0,
408,Desmond Ridder,ATL,23,QB,4,4,,,,,0,0,,,,,,,16,64,0,4,31.3,18,4.0,16.0,4.0,16,4.0,64,0,3
409,Trestan Ebner,CHI,23,RB,17,0,8,2,8,4.0,0,0,25.0,6,0.1,0.5,25.0%,1.0,24,54,0,2,33.3,11,2.3,3.2,1.4,26,2.4,62,0,2
410,James Proche,BAL,26,WR,15,0,17,8,62,7.8,0,3,41.2,12,0.5,4.1,47.1%,3.6,,,0,0,,,,,,8,7.8,62,0,
411,Trace McSorley,ARI,27,QB,6,1,,,,,0,0,,,,,,,15,61,0,3,40.0,14,4.1,10.2,2.5,15,4.1,61,0,2
412,Jamison Crowder,BUF,29,WR,4,0,13,6,60,10.0,0,4,46.2,16,1.5,15.0,46.2%,4.6,,,0,0,,,,,,6,10.0,60,0,1
413,Trayveon Williams,CIN,25,RB,8,0,3,2,30,15.0,0,1,33.3,24,0.3,3.8,66.7%,10.0,6,30,0,1,33.3,16,5.0,3.8,0.8,8,7.5,60,0,
414,Shane Zylstra,DET,26,TE,13,2,15,11,60,5.5,4,6,46.7,14,0.8,4.6,73.3%,4.0,,,0,0,,,,,,11,5.5,60,4,
415,Mike Strachan,IND,25,WR,13,0,9,3,59,19.7,0,3,33.3,23,0.2,4.5,33.3%,6.6,,,0,0,,,,,,3,19.7,59,0,
416,Geoff Swaim,TEN,29,TE,17,13,16,12,58,4.8,1,4,37.5,13,0.7,3.4,75.0%,3.6,,,0,0,,,,,,12,4.8,58,1,
417,Deven Thompkins,TAM,23,WR,5,1,10,5,32,6.4,0,1,20.0,13,1.0,6.4,50.0%,3.2,2,26,0,1,100.0,17,13.0,5.2,0.4,7,8.3,58,0,1
418,Tyler Kroft,SFO,30,TE,11,4,5,4,57,14.3,0,2,80.0,28,0.4,5.2,80.0%,11.4,,,0,0,,,,,,4,14.3,57,0,
419,C.J. Moore,DET,27,S,11,0,,,,,0,0,,,,,,,2,55,0,2,100.0,42,27.5,5.0,0.2,2,27.5,55,0,1
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
420,Nick Vannett,2TM,29,TE,9,3,9,6,55,9.2,0,1,55.6,15,0.7,6.1,66.7%,6.1,,,0,0,,,,,,6,9.2,55,0,
421,Andy Dalton,NOR,35,QB,14,14,,,,,0,0,,,,,,,30,54,0,6,33.3,14,1.8,3.9,2.1,30,1.8,54,0,5
422,Myles Gaskin,MIA,25,RB,4,0,6,4,28,7.0,0,0,50.0,16,1.0,7.0,66.7%,4.7,10,26,0,2,30.0,10,2.6,6.5,2.5,14,3.9,54,0,
423,Cody Hollister,TEN,29,WR,11,3,5,3,54,18.0,0,2,40.0,27,0.3,4.9,60.0%,10.8,,,0,0,,,,,,3,18.0,54,0,
424,Tony Jones,2TM,25,RB,6,0,8,5,30,6.0,0,0,37.5,9,0.8,5.0,62.5%,3.8,10,24,0,3,50.0,7,2.4,4.0,1.7,15,3.6,54,0,
425,Isaiah Spiller,LAC,21,RB,6,0,3,3,13,4.3,0,0,33.3,8,0.5,2.2,100.0%,4.3,18,41,0,2,22.2,11,2.3,6.8,3.0,21,2.6,54,0,
426,Chris Streveler,NYJ,27,QB,2,1,,,,,0,0,,,,,,,9,54,0,1,55.6,14,6.0,27.0,4.5,9,6.0,54,0,1
427,Spencer Brown,CAR,24,RB,2,0,4,2,10,5.0,0,0,25.0,9,1.0,5.0,50.0%,2.5,9,43,0,1,66.7,7,4.8,21.5,4.5,11,4.8,53,0,
428,Julius Chestnut,TEN,22,RB,6,0,3,3,41,13.7,0,1,66.7,33,0.5,6.8,100.0%,13.7,9,12,0,1,33.3,5,1.3,2.0,1.5,12,4.4,53,0,
429,Kevin Harris,NWE,22,RB,5,1,,,,,0,0,,,,,,,18,52,1,3,33.3,14,2.9,10.4,3.6,18,2.9,52,1,
430,Ronnie Rivers,LAR,23,RB,8,1,5,5,29,5.8,0,1,80.0,14,0.6,3.6,100.0%,5.8,9,21,0,1,44.4,5,2.3,2.6,1.1,14,3.6,50,0,
431,Charlie Kolar,BAL,23,TE,2,0,6,4,49,12.3,0,3,66.7,15,2.0,24.5,66.7%,8.2,,,0,0,,,,,,4,12.3,49,0,
432,Patrick Taylor,GNB,24,RB,14,0,1,1,17,17.0,0,1,100.0,17,0.1,1.2,100.0%,17.0,10,31,0,2,40.0,6,3.1,2.2,0.7,11,4.4,48,0,
433,Chris Conley,2TM,30,WR,9,1,7,4,46,11.5,0,2,57.1,27,0.4,5.1,57.1%,6.6,,,0,0,,,,,,4,11.5,46,0,
434,Stephen Sullivan,CAR,26,TE,14,0,6,2,46,23.0,0,2,33.3,33,0.1,3.3,33.3%,7.7,,,0,0,,,,,,2,23.0,46,0,
435,Andre Baccellia,ARI,25,WR,8,0,10,7,45,6.4,0,4,50.0,11,0.9,5.6,70.0%,4.5,,,0,0,,,,,,7,6.4,45,0,
436,Dwayne Washington,NOR,28,RB,12,0,1,1,7,7.0,0,0,100.0,7,0.1,0.6,100.0%,7.0,11,38,0,2,45.5,8,3.5,3.2,0.9,12,3.8,45,0,
437,Joshua Dobbs,TEN,27,QB,2,2,,,,,0,0,,,,,,,8,44,0,4,75.0,11,5.5,22.0,4.0,8,5.5,44,0,4
438,Racey McMath,TEN,23,WR,5,0,8,2,40,20.0,0,1,12.5,39,0.4,8.0,25.0%,5.0,1,4,0,0,0.0,4,4.0,0.8,0.2,3,14.7,44,0,
439,John Brown,BUF,32,WR,3,0,2,1,42,42.0,1,1,50.0,42,0.3,14.0,50.0%,21.0,,,0,0,,,,,,1,42.0,42,1,
440,Snoop Conner,JAX,22,RB,8,0,,,,,0,0,,,,,,,12,42,1,2,58.3,8,3.5,5.3,1.5,12,3.5,42,1,
441,Brandon Johnson,DEN,24,WR,7,1,14,6,42,7.0,1,2,21.4,12,0.9,6.0,42.9%,3.0,,,0,0,,,,,,6,7.0,42,1,1
442,Chris Manhertz,JAX,30,TE,17,11,8,6,42,7.0,0,2,37.5,21,0.4,2.5,75.0%,5.3,,,0,0,,,,,,6,7.0,42,0,
443,Laquon Treadwell,SEA,27,WR,6,0,10,6,42,7.0,0,3,30.0,17,1.0,7.0,60.0%,4.2,,,0,0,,,,,,6,7.0,42,0,
444,Anthony McFarland Jr.,PIT,23,RB,1,0,2,2,11,5.5,0,1,50.0,12,2.0,11.0,100.0%,5.5,6,30,0,3,66.7,14,5.0,30.0,6.0,8,5.1,41,0,
445,Davis Webb,NYG,27,QB,1,1,,,,,0,0,,,,,,,6,41,1,2,83.3,14,6.8,41.0,6.0,6,6.8,41,1,
446,Luke Farrell,JAX,25,TE,17,0,4,4,40,10.0,0,3,75.0,15,0.2,2.4,100.0%,10.0,,,0,0,,,,,,4,10.0,40,0,
